id_siswa,nama_siswa,rata_nilai,hadir,sakit,izin,alpha,skor_motivasi,skor_disiplin,status_risiko
1,Siswa 1,54,88,3,0,9,95,52,1
2,Siswa 2,52,88,3,3,6,91,85,1
3,Siswa 3,43,84,6,3,7,100,78,1
4,Siswa 4,88,85,6,8,1,88,42,0
5,Siswa 5,62,82,0,5,13,66,88,1
6,Siswa 6,68,90,0,1,9,56,100,1
7,Siswa 7,96,87,6,0,7,66,54,1
8,Siswa 8,87,86,6,3,5,68,44,0
9,Siswa 9,90,86,5,3,6,77,99,0
10,Siswa 10,96,81,5,7,7,61,91,0
11,Siswa 11,99,79,5,2,14,98,98,1
12,Siswa 12,58,87,5,5,3,100,46,1
13,Siswa 13,56,82,5,7,6,99,85,1
14,Siswa 14,60,79,5,6,10,84,97,1
15,Siswa 15,74,91,2,1,6,62,60,1
16,Siswa 16,92,83,0,8,9,95,99,0
17,Siswa 17,41,75,7,8,10,91,79,1
18,Siswa 18,81,85,6,3,6,83,55,0
19,Siswa 19,68,80,3,3,14,41,94,1
20,Siswa 20,50,85,1,1,13,40,79,1
21,Siswa 21,59,84,0,8,8,89,49,1
22,Siswa 22,77,90,5,2,3,92,63,0
23,Siswa 23,61,91,7,2,0,43,65,1
24,Siswa 24,42,97,2,1,0,96,97,1
25,Siswa 25,96,93,3,4,0,45,81,0
26,Siswa 26,62,88,4,0,8,51,46,1
27,Siswa 27,64,90,5,5,0,94,99,0
28,Siswa 28,48,79,4,4,13,47,86,0
29,Siswa 29,78,90,8,2,0,75,88,0
30,Siswa 30,98,84,2,2,12,85,91,1
31,Siswa 31,73,72,7,6,15,41,70,1
32,Siswa 32,59,79,4,2,15,99,81,1
33,Siswa 33,44,86,0,3,11,67,55,1
34,Siswa 34,67,87,2,7,4,47,71,1
35,Siswa 35,62,83,3,2,12,85,50,1
36,Siswa 36,51,99,0,1,0,93,67,1
37,Siswa 37,69,85,5,2,8,99,58,0
38,Siswa 38,72,93,5,0,2,67,84,0
39,Siswa 39,72,87,3,3,7,78,93,0
40,Siswa 40,61,88,3,3,6,40,45,1
